[18:58:07.802] [GameLogic] Update start, frame: 2043, deltaTime: 0.0192517s
[18:58:07.967] [GameLogic] Update start, frame: 2053, deltaTime: 0.0168228s
[18:58:08.151] [GameLogic] Update start, frame: 2064, deltaTime: 0.0170371s
[18:58:08.335] [GameLogic] Update start, frame: 2075, deltaTime: 0.0167214s
[18:58:08.551] [GameLogic] Update start, frame: 2088, deltaTime: 0.016224s
[18:58:08.750] [GameLogic] Update start, frame: 2100, deltaTime: 0.0165278s
[18:58:09.458] [GameLogic] Update start, frame: 2138, deltaTime: 0.0169493s
[18:58:10.447] [GameLogic] Update start, frame: 2194, deltaTime: 0.0166928s
[18:58:10.547] [GameLogic] Update start, frame: 2200, deltaTime: 0.0168642s
[18:58:10.630] [GameLogic] Update start, frame: 2205, deltaTime: 0.0169055s
[18:58:11.182] [GameLogic] Update start, frame: 2238, deltaTime: 0.0170036s
[18:58:11.381] [GameLogic] Update start, frame: 2250, deltaTime: 0.016682s
[18:58:11.580] [GameLogic] Update start, frame: 2262, deltaTime: 0.0162268s
[18:58:11.744] [GameLogic] Update start, frame: 2272, deltaTime: 0.0162429s
[18:58:12.142] [GameLogic] Update start, frame: 2296, deltaTime: 0.0169786s
[18:58:12.207] [GameLogic] Update start, frame: 2300, deltaTime: 0.0167363s
[18:58:12.355] [GameLogic] Update start, frame: 2309, deltaTime: 0.016289s
[18:58:12.720] [GameLogic] Update start, frame: 2331, deltaTime: 0.0161516s
[18:58:12.936] [GameLogic] Update start, frame: 2344, deltaTime: 0.016939s
[18:58:13.135] [GameLogic] Update start, frame: 2356, deltaTime: 0.0169263s
[18:58:13.335] [GameLogic] Update start, frame: 2368, deltaTime: 0.0164324s
[18:58:13.555] [GameLogic] Update start, frame: 2381, deltaTime: 0.0168462s
[18:58:13.754] [GameLogic] Update start, frame: 2393, deltaTime: 0.0162816s
[18:58:13.868] [GameLogic] Update start, frame: 2400, deltaTime: 0.0165664s
[18:58:14.021] [GameLogic] Update start, frame: 2409, deltaTime: 0.0161043s
[18:58:14.268] [GameLogic] Update start, frame: 2424, deltaTime: 0.0163311s
[18:58:14.434] [GameLogic] Update start, frame: 2434, deltaTime: 0.0163861s
[18:58:14.653] [GameLogic] Update start, frame: 2445, deltaTime: 0.0168492s
[18:58:14.875] [GameLogic] Update start, frame: 2458, deltaTime: 0.0169997s
[18:58:15.079] [GameLogic] Update start, frame: 2470, deltaTime: 0.0187731s
[18:58:15.313] [GameLogic] Update start, frame: 2484, deltaTime: 0.0163362s
[18:58:15.513] [GameLogic] Update start, frame: 2496, deltaTime: 0.016457s
[18:58:15.580] [GameLogic] Update start, frame: 2500, deltaTime: 0.0164516s
[18:58:15.680] [GameLogic] Update start, frame: 2506, deltaTime: 0.0170024s
[18:58:15.896] [GameLogic] Update start, frame: 2519, deltaTime: 0.0161273s
[18:58:16.064] [GameLogic] Update start, frame: 2529, deltaTime: 0.016866s
[18:58:16.230] [GameLogic] Update start, frame: 2539, deltaTime: 0.0169782s
[18:58:16.596] [GameLogic] Update start, frame: 2561, deltaTime: 0.0163068s
[18:58:17.247] [GameLogic] Update start, frame: 2600, deltaTime: 0.016544s
